52,,"〔なる〕","あ……ああ……","(Naru)","Ah...Ahhh...",,"Ah... Ahhh..."
53,,"〔ネフライト〕","くっ……ぐぐっ……","(Nephrite)","Rgh...Urgh....",,"Rgh... Urgh...."
54,"p512","〔ゾイサイト〕","わたしがこの場所を知っていることを忘れたの？","(Zoisite)","Did you forget that I am well aware of this place?",,"Did you forget that I am well aware of this place?"
55,"p513","〔ゾイサイト〕","ホホホ……相変わらずその娘にごしゅうしんなのね…","(Zoisite)","Hm-hm-hm...As usual, you're awfully infatuated with this girl.",,"Hm hm hm... As usual, you're awfully infatuated with this girl."
56,"p514","〔ネフライト〕","く……き……きさまらぁ…","(Nephrite)","D-Damn you...!",,"D-Damn you...!"
57,"p515","〔なる〕","ネフライトさま！","(Naru)","Nephrite+-sama++!",,"Nephrite-sama!"
58,"p516","〔クンツァイト〕","裏切り者は死をもって、つぐなってもらうところだが","(Kunzite)","While we'd like nothing better than to execute a traitor,",,"While we'd like nothing better than to execute a traitor,"
59,,"〔クンツァイト〕","パスト・ワイズマンの命令だ。一緒に来てもらおう","(Kunzite)","Past Wiseman has ordered us to bring you back.",,"Past Wiseman has ordered us to bring you back."
60,"p518","〔ネフライト〕","……なるちゃん……
逃げるんだ……","(Nephrite)","...Naru+-chan++...Run...",,"...Naru-chan... Run..."
61,"p519","〔ゾイサイト〕","いいわ、黒水晶を持ってすなおについてきてくれたら","(Zoisite)","How about this? If you lead us to the Silver Crystal,",,"How about this? If you lead us to the Silver Crystal,"
,,,,,,,
,,,"〔ゾイサイト〕
",,"(Zoisite)",,"(Zoisite)"
,"p520",,"その娘には手出ししないでおいてあげる",,"we won't harm the girl.",,"we won't harm the girl."
62,,"〔ゾイサイト〕
","その娘には手出ししないでおいてあげる","(Zoisite)","we won't harm the girl.",,
,,,,,,,
64,"p521","〔ネフライト〕","！？……ぐっ……","(Nephrite)","!?...Rgh...",,"! ? ...Rgh..."
65,"p522","〔なる〕","いやあ！　やめて！　ネフライトさまをはなして！！","(Naru)","No! Stop it! Let +Nephrite-sama+him+ go!",,"No! Stop it! Let Nephrite-sama go!"
66,"p523","〔クンツァイト〕","どうせ、もうすぐこの街からは","(Kunzite)","Not that it matters.",,"Not that it matters."
67,,"〔クンツァイト〕","一人残らず人間が消えるのだからな","(Kunzite)","Soon, there won't be any humans left in this city.",,"Soon, there won't be any humans left in this town."
68,"p524","〔ゾイサイト〕","すべてのエナジーをわたしたちにささげてね……","(Zoisite)","All of their energy will be ours...",,"All of their energy will be ours..."
69,"p525","〔クンツァイト〕","ふははははははは……","(Kunzite)","Mwahahahah!",,"Mwahahahah!"
70,,"〔ゾイサイト〕","おほほほほほ……","(Zoisite)","Hoh hoh hoh hoh hoh!",,"Hoh hoh hoh hoh hoh!"
71,"p526","〔ネフライト〕","きさまら……まさか……すでに……","(Nephrite)","N-No way...You've already―?!",,"N-No way... You've already―?!"
72,"p527","〔セーラームーン〕","まちなさい！","(Sailor Moon)","HOLD IT!",,"HOLD IT!"
73,"p537","〔クンツァイト〕","きさまらのおユウギに付き合っているヒマはない","(Kunzite)","We don't have time to play with you.",,"We don't have time to play with you."
74,"p538","〔ジェダイト〕","カアッ！！","(Jadeite)","KAH!",,"KAH!"
75,"p539","〔セーラームーン〕","きゃっ！？　あ、あちぃ！","(Sailor Moon)","Whoa?! Hot-hot-hot!",,"Whoa?! Hot-hot-hot!"
76,"p540","〔マーキュリー〕","（見た目に反して熱量はほとんどない）","(Mercury)","(Wait...This flame isn't as hot as it should be.)",,"(Wait. This flame is not as hot as it should be.)"
77,"p541","〔マーキュリー〕","みんな！　だまされちゃだめ、幻覚よ！！","(Mercury)","Don't be fooled, girls! It's an illusion!",,"Don't be fooled, girls! It's an illusion!"
78,"p542","〔クンツァイト〕","もうおそい、さらばだ
セーラー戦士たち","(Kunzite)","Too late.
Farewell, Sailor +Senshi+Soldiers+.",,"Too late.
Farewell, Sailor Senshi."
79,"p543","〔ゾイサイト〕","ごきげんよう……うふふ…","(Zoisite)","Adieu! Heheheh...",,"Adieu! Heheheh..."
80,"sui.16k","〔ネフライト〕","セーラー戦士！　スイギョクの扉だ……","(Nephrite)","Sailor +Senshi+Soldiers+! Th-The Emerald Gate!
W-Watch out for the Emerald Ga―",,"Sailor Senshi! Th-The Emerald Gate!"
81,,"〔ネフライト〕","スイギョクの扉に気をつけ……","(Nephrite)",,,"W-Watch out for the Emerald Ga―"
82,,"〔なる〕","…………！！","(Naru)","......!!",,"......! !"
83,"p544a","〔なる〕","う……うう……","(Naru)","*sob*",,"*sob*"
84,"p545","〔セーラームーン〕","ネフライト……","(Sailor Moon)","Nephrite...",,"Nephrite..."
85,"p546","〔ぐりお〕","あわわわわ……と、とんでもないものを見て……","(Gurio)","Awawawa...",,"Awawawa..."
86,,"〔ぐりお〕","しまっ……た……","(Gurio)","I-I've just seen something...out of this world...",,"I-I've just seen something...out of this world......"
