87,"p547","〔クインベリル〕","もうすぐ……","(Queen Beryl)","Soon...",,"Soon..."
88,"p548","〔クインベリル〕","もうすぐだ……","(Queen Beryl)","Very soon...",,"Very soon..."
89,"p549","〔クインベリル〕","われらの長き
不ぐうの時代は","(Queen Beryl)","Tonight, our long era of misfortune will finally end.",,"Our long era of misfortune"
90,,"〔クインベリル〕","こよい終わりを告げる","(Queen Beryl)",,,"will finally end tonight."
91,"p550","〔クインベリル〕","偉大なるハオウ、デス・ファントムよ","(Queen Beryl)","O Death Phantom, our great ruler,",,"O Death Phantom, our great ruler,"
92,"p551","〔クインベリル〕","われらをみちびきたまえ……","(Queen Beryl)","show us the way...",,"show us the way..."
93,"p552","〔クインベリル〕","しゅびよくいったようだな……","(Queen Beryl)","I see you've succeeded.",,"I see you've succeeded."
94,"p553","〔クンツァイト〕","セーラー戦士のジャマは入りましたが","(Kunzite)","The Sailor +Senshi+Soldiers+ have interfered, but we've not failed.",,"The Sailor Senshi have interfered,"
95,,"〔クンツァイト〕","ぬかりはありません……","(Kunzite)",,,"but we've not failed."
96,"p554","〔クインベリル〕","フッ……ろくに使いこなすこともできなかった男には","(Queen Beryl)","Heh. A useless trinket in the hands of a man who cannot handle its power.",,"Heh. A useless trinket in the hands of a man"
97,,"〔クインベリル〕","無用の長物よ……","(Queen Beryl)",,,"who cannot handle its power."
98,"p555","〔ネフライト〕","それは……きさまとて同じだ……","(Nephrite)","It won't be...any different for you...",,"It won't be...any different for you..."
99,"p555a","〔クインベリル〕","！？","(Queen Beryl)","?!",,"? !"
100,"p556","〔ネフライト〕","黒水晶の力をフルに引き出すことはオレはもとより","(Nephrite)","If I couldn't draw out the full power of the Black Crystal, then neither can you...",,"If I couldn't draw out the full power of the Black Crystal,"
101,,"〔ネフライト〕","きさまにもできん……！","(Nephrite)",,,"then neither will you..."
102,"p557","〔ネフライト〕","それができるのは……","(Nephrite)","The only one who could is―",,"The only one who could is―"
103,"p558","〔クインベリル〕","……へらず口がたたけるのも今のうちだ……","(Queen Beryl)","...I hope you've enjoyed flapping your mouth while you can...",,"...I hope you've enjoyed flapping your mouth while you could..."
104,"p559","〔クインベリル〕","二度とその口","(Queen Beryl)","I'm going to make sure―",,"I'm going to make sure"
105,"p560","〔クインベリル〕","きけぬようにしてくれるわ……","(Queen Beryl)","―you won't have such luxury any longer...",,"you won't have such luxury any longer..."
106,"p561","〔ネフライト〕","！！　や……やめろ……！","(Nephrite)","!! D-Don't...!",,"! ! D-Don't...!"
107,"p562","〔ネフライト〕","やめ……","(Nephrite)","No...",,"No..."
108,"p563","〔ネフライト〕","ぐっ……！","(Nephrite)","Rgh...!",,"Rgh...!"
109,"p564","〔ネフライト〕","やめろおーーー！","(Nephrite)","DON'T!!",,"DON'T!!"
